The Downtown

d100 Downtown
1-2    Pharmacy
3-4    Consumer Electronics
5      Art Dealer or Gallery
6      Auto or Robotics Repair
7-9    Storage Units or Warehousing
10     Legal Firm
11-12  Religious Building
13-14  Capsule Hotel
15     Data Storage
16-18  Low Rent Housing Project
19-20  Grocery Store or Hypermarket
21     Elevated Rail or Road Overpass
22-24  Fast Food Franchise
25-26  Police Precinct
27     School or College
28-29  Government Building
30     Garage or Parking Block
31-34  Office Block
35-36  Public Transport Hub
37-38  Hospital or Clinic
39-40  Department Store
41-43  Body Augmentation Clinic
44-45  Luxury Apartments
46-47  New Media Company
48-49  Industrial
50     Security Tech
51-52  Vehicle Showroom
53-54  Fashion Boutique
55-57  Commercial Cybernetics
58     Mall
59     VRcade
60     Gym
61-62  Leisureplex
63-67  Apartment Block or Hab Stack
68-70  Nightclub
71     Underpass
72-74  Hotel
75-76  Ripperdoc
77-78  3D Print Fabrication
79-80  Courier or Bulk Transport Company
81-83  Bar
84-85  Restaurant
86-87  Pop-Up Market
88-89  Coffee Shop
90     Taxi Firm
91-92  Pocket Park
93-94  Suburban Housing
95     Movie Theatre
96     Weapons Tech or Sales
97-98  Multi-Level Car Park
99     Bank
100    Antiques

d10 Notable Features Table 1
1  Extreme Security Protocols
2  Decrepit and Rundown
3  Graffitipocalypse
4  Obvious Gang Turf (See Urban Tribes: Street Gangs)
5  Back Room Brothel
6  Newly Renovated
7  Unusually Busy
8  Empty/Quiet
9  Inadequate Security
10 High Tech Equipment

d10 Notable Features Table 2
1  Abandoned Edifice
2  Repurposed As (Roll Again)
3  Front For Corporate Activity
4  Front For Criminal Activity
5  Hidden Squatters
6  Obscured By Ad Screens (See What's On That Big Screen)
7  Nano 'Grown'
8  Incomplete
9  Self Sufficient
10 Crumbling Cheapcrete

d100 Expanded Building Features
1   Extreme Security Protocols
2   Decrepit and Rundown
3   Graffitipocalypse/Street Art Heavy
4   Obvious Gang Turf (See Urban Tribes: Street Gangs)
5   Back Room Brothel
6   Newly Renovated
7   Unusually Busy
8   Empty/Quiet
9   Inadequate Security
10  High Tech Equipment
11  Abandoned Edifice
12  Repurposed As... (Roll Again)
13  Front For Corporate Activity (See Corporate Aristocrats)
14  Front For Criminal Activity
15  Hidden Squatters
16  Obscured By Ad Screens (See What's On That Big Screen)
17  'Grown' By Nanites
18  Incomplete
19  Self Sufficient
20  Crumbling Cheapcrete
21  War Zone
22  Fire Damage
23  Not A Building, But Mobile
24  Elaborate Balconies
25  Years Of Clumsy Modification
26  For Sale/To Let
27  Bright Emoji Glyphs and Graphics
28  Reinforced For Repair Work
29  Extremely Leaky
30  Gothic Style
31  Chic and Minimalist
32  Brutalist
33  Encased In Plastic Siding
34  Labyrinthine
35  Skywalks To Other Buildings
36  Industrial Style
37  Anti-Drone System
38  Nano Immune System
39  People Queue To Enter
40  Well Guarded
41  AI Guardian
42  AR Heavy (See Augmented Reality)
43  Selective Access
44  Buggy Security Net (See Bugs In The System)
45  Taken Over By Junkies
46  Foreign Ghetto
47  Sweatshop Conditions
48  Utilised Solely For Storage
49  Veiled Behind Polymer Sheeting
50  All Windows Damaged
51  External Utilities
52  Extensive Solar Grid and Fog Catchers
53  Bad Epoxy Repairs
54  Unpleasant Micro-Climate
55  Infested With Rogue Remotes
56  Self Aware
57  Cellular Black Hole
58  Mainly Populated By Hoarders
59  Accumulated Trash Heaps
60  Unusual Smell (See Sense & The City - Smells)
61  Very Few Working Lights
62  A Riot Of Satellite Dishes
63  Very Noisy Utilities
64  Catastrophically Polluted
65  Unfinished Extension or Empty Levels
66  Permadamp
67  Legacy Infrastructure (See Legacy Infrastructure table)
68  Bad Wiring; High Emf; Black Outs
69  Patrolled By Hired Rent-A-Cops (See First Responders)
70  Aggressively Enforced No-Parking Zone
71  Windows Boarded With Opaque Acrylic
72  Main Entrance Out Of Order
73  Several Trashed Cars Out Front
74  Being Audited By Fanatical City Inspectors
75  Wind Tunnel
76  Tinted Glass and Carbon Nano-Tubes
77  Homeless Magnet
78  Shakes When Trucks Pass
79  Completely Automated
80  Exotic/Foreign Architecture
81  Obvious Corporate Sponsor
82  Endorsed By Celebutant
83  Promotes Religion
84  Independent Nation State
85  Family Owned
86  Scheduled For Demolition
87  Rat or Roach Problem
88  Security Camera Overkill
89  A Crime Scene
90  Target Of Net Terrorism
91  Malfunctioning Incessant Alarm
92  Slowly Collapsing or Subsiding
93  Under Surveillance
94  Enforced No Fly Zone
95  Prone To Flooding
96  Ecologically Sound; No Carbon Footprint
97  Popular With Particular Subculture
98  Totally Sterile
99  Extensive Drone Docks
100 Causes Sickness (See Urban Sickess)

Quirky Interiors

d10 Style
1   Minimalist
2   Industrial
3   Shabby-Chic
4   (Bio)Organic
5   Brushed Steel
6   Polymer Baroque
7   Gothic
8   Rustic
9   Office Beige
10  Hexagonal Tiles

d10 State
1   Untidy
2   Pristine
3   Sterile
4   Cramped
5   Spacious
6   Cavernous
7   Biohazard
8   Organised
9   Cluttered
10  Feng Shui

d10 Unusual Feature
1   Hydroponics
2   Scavenged Furniture
3   Holograms
4   Monochromatic
5   Artificial Plants
6   Strange Acoustics
